,integration,project_management,contract_management,team_building,leadership,marketing_strategy,cross-functional_team_leadership,performance_management,software_project_management,business_requirements,product_management,certificación_pmp,customer_retention,customer_satisfaction,project_life_cycle,business_impact_analysis,human_relationship
0,1.0,0.88363271,0.67043682,0.89971269,0.73133597,0.72871871,0.8112828,0.5919004,0.74583925,0.89395275,0.77917946,0.64655619,0.60007182,0.75859661,0.71491728,0.68679687,0.70998175
1,0.88363271,1.0,0.59126871,0.7840781,0.85917195,0.64790751,0.70569832,0.72853138,0.91893331,0.78302147,0.65587538,0.67810884,0.51210657,0.71604346,0.63041667,0.58364086,0.56724324
2,0.67043682,0.59126871,1.0,0.69637013,0.76368684,0.60118643,0.63023454,0.57968283,0.58480137,0.62595833,0.71548665,0.74293444,0.75495098,0.95492801,0.78855228,0.81243422,0.78245439
3,0.89971269,0.7840781,0.69637013,1.0,0.65177496,0.71760736,0.6552141,0.57474515,0.62429694,0.78680225,0.73041884,0.8147309,0.77211511,0.81035982,0.86277796,0.85891559,0.87077405
4,0.73133597,0.85917195,0.76368684,0.65177496,1.0,0.69856017,0.65040597,0.72026754,0.86788241,0.57451573,0.64611963,0.74858637,0.61018037,0.83193052,0.66492683,0.63788064,0.59533129
5,0.72871871,0.64790751,0.60118643,0.71760736,0.69856017,1.0,0.65893273,0.56471039,0.62911643,0.60306848,0.80207775,0.62469733,0.57669142,0.67161905,0.55251792,0.55216186,0.60133804
6,0.8112828,0.70569832,0.63023454,0.6552141,0.65040597,0.65893273,1.0,0.60430775,0.62757047,0.77621787,0.5991657,0.46376678,0.55543021,0.60653985,0.5445736,0.54314086,0.55921109
7,0.5919004,0.72853138,0.57968283,0.57474515,0.72026754,0.56471039,0.60430775,1.0,0.73714156,0.55165722,0.62978644,0.55173021,0.3774212,0.58121954,0.42338262,0.4365409,0.40484518
8,0.74583925,0.91893331,0.58480137,0.62429694,0.86788241,0.62911643,0.62757047,0.73714156,1.0,0.72227926,0.70048022,0.64828917,0.44973491,0.64251094,0.58657709,0.52868025,0.52327337
9,0.89395275,0.78302147,0.62595833,0.78680225,0.57451573,0.60306848,0.77621787,0.55165722,0.72227926,1.0,0.82364273,0.62053042,0.58283533,0.64145015,0.66893665,0.64084882,0.66899081
10,0.77917946,0.65587538,0.71548665,0.73041884,0.64611963,0.80207775,0.5991657,0.62978644,0.70048022,0.82364273,1.0,0.6685504,0.54527715,0.7118239,0.62945876,0.61999687,0.65761739
11,0.64655619,0.67810884,0.74293444,0.8147309,0.74858637,0.62469733,0.46376678,0.55173021,0.64828917,0.62053042,0.6685504,1.0,0.90295408,0.8265798,0.91524273,0.91026109,0.87027744
12,0.60007182,0.51210657,0.75495098,0.77211511,0.61018037,0.57669142,0.55543021,0.3774212,0.44973491,0.58283533,0.54527715,0.90295408,1.0,0.77811994,0.93276136,0.94894891,0.93320737
13,0.75859661,0.71604346,0.95492801,0.81035982,0.83193052,0.67161905,0.60653985,0.58121954,0.64251094,0.64145015,0.7118239,0.8265798,0.77811994,1.0,0.8320316,0.84248143,0.80485262
14,0.71491728,0.63041667,0.78855228,0.86277796,0.66492683,0.55251792,0.5445736,0.42338262,0.58657709,0.66893665,0.62945876,0.91524273,0.93276136,0.8320316,1.0,0.99313614,0.98282221
15,0.68679687,0.58364086,0.81243422,0.85891559,0.63788064,0.55216186,0.54314086,0.4365409,0.52868025,0.64084882,0.61999687,0.91026109,0.94894891,0.84248143,0.99313614,1.0,0.98700342
16,0.70998175,0.56724324,0.78245439,0.87077405,0.59533129,0.60133804,0.55921109,0.40484518,0.52327337,0.66899081,0.65761739,0.87027744,0.93320737,0.80485262,0.98282221,0.98700342,1.0
